Episode,Reward
1,-125.0
2,-18.0
3,-11.0
4,0.0
5,-60.0
6,-113.0
7,-66.0
8,-16.0
9,8.0
10,-35.0
11,-64.0
12,8.0
13,-35.0
14,7.0
15,6.0
16,-19.0
17,9.0
18,1.0
19,3.0
20,-30.0
21,-87.0
22,5.0
23,9.0
24,1.0
25,-24.0
26,10.0
27,-55.0
28,-4.0
29,-11.0
30,6.0
31,-16.0
32,3.0
33,6.0
34,10.0
35,9.0
36,1.0
37,-18.0
38,9.0
39,-12.0
40,9.0
41,-45.0
42,-9.0
43,4.0
44,-12.0
45,-15.0
46,-50.0
47,9.0
48,-9.0
49,2.0
50,-2.0
51,-4.0
52,-20.0
53,0.0
54,-39.0
55,-66.0
56,-5.0
57,1.0
58,8.0
59,-8.0
60,-16.0
61,9.0
62,-14.0
63,2.0
64,10.0
65,4.0
66,-2.0
67,3.0
68,2.0
69,7.0
70,3.0
71,8.0
72,5.0
73,8.0
74,-9.0
75,-9.0
76,-24.0
77,-21.0
78,-4.0
79,-3.0
80,4.0
81,3.0
82,-4.0
83,1.0
84,4.0
85,5.0
86,-1.0
87,-19.0
88,8.0
89,9.0
90,1.0
91,-1.0
92,5.0
93,8.0
94,10.0
95,-20.0
96,-8.0
97,-15.0
98,-10.0
99,-3.0
100,-4.0
101,-6.0
102,-21.0
103,5.0
104,7.0
105,-3.0
106,0.0
107,7.0
108,10.0
109,2.0
110,6.0
111,-18.0
112,5.0
113,-7.0
114,9.0
115,-1.0
116,1.0
117,4.0
118,3.0
119,9.0
120,-1.0
121,6.0
122,-4.0
123,-4.0
124,-2.0
125,0.0
126,1.0
127,9.0
128,8.0
129,-22.0
130,-2.0
131,10.0
132,3.0
133,10.0
134,-17.0
135,-1.0
136,9.0
137,8.0
138,10.0
139,6.0
140,2.0
141,0.0
142,7.0
143,6.0
144,0.0
145,4.0
146,6.0
147,10.0
148,8.0
149,5.0
150,6.0
151,5.0
152,7.0
153,9.0
154,4.0
155,8.0
156,10.0
157,8.0
158,8.0
159,6.0
160,-5.0
161,9.0
162,4.0
163,3.0
164,10.0
165,6.0
166,7.0
167,2.0
168,1.0
169,6.0
170,2.0
171,9.0
172,3.0
173,9.0
174,10.0
175,-4.0
176,4.0
177,6.0
178,8.0
179,5.0
180,9.0
181,2.0
182,9.0
183,8.0
184,-10.0
185,2.0
186,-2.0
187,4.0
188,7.0
189,8.0
190,2.0
191,9.0
192,3.0
193,8.0
194,6.0
195,3.0
196,3.0
197,1.0
198,7.0
199,-16.0
200,6.0
201,0.0
202,8.0
203,-1.0
204,8.0
205,6.0
206,10.0
207,8.0
208,9.0
209,9.0
210,5.0
211,8.0
212,6.0
213,-3.0
214,4.0
215,4.0
216,4.0
217,7.0
218,4.0
219,10.0
220,1.0
221,5.0
222,8.0
223,8.0
224,2.0
225,3.0
226,4.0
227,5.0
228,9.0
229,8.0
230,4.0
231,5.0
232,5.0
233,7.0
234,2.0
235,0.0
236,1.0
237,6.0
238,7.0
239,10.0
240,8.0
241,1.0
242,3.0
243,3.0
244,7.0
245,8.0
246,9.0
247,9.0
248,0.0
249,7.0
250,2.0
251,6.0
252,1.0
253,8.0
254,9.0
255,5.0
256,7.0
257,7.0
258,5.0
259,7.0
260,7.0
261,6.0
262,9.0
263,10.0
264,6.0
265,7.0
266,5.0
267,9.0
268,9.0
269,5.0
270,3.0
271,9.0
272,6.0
273,8.0
274,10.0
275,2.0
276,4.0
277,2.0
278,3.0
279,7.0
280,7.0
281,8.0
282,7.0
283,10.0
284,9.0
285,6.0
286,9.0
287,10.0
288,9.0
289,6.0
290,8.0
291,4.0
292,10.0
293,7.0
294,9.0
295,9.0
296,4.0
297,4.0
298,2.0
299,5.0
300,4.0
301,7.0
302,6.0
303,10.0
304,-1.0
305,6.0
306,7.0
307,6.0
308,9.0
309,8.0
310,9.0
311,4.0
312,8.0
313,2.0
314,2.0
315,8.0
316,6.0
317,1.0
318,8.0
319,9.0
320,9.0
321,5.0
322,10.0
323,2.0
324,8.0
325,3.0
326,3.0
327,5.0
328,6.0
329,10.0
330,3.0
331,3.0
332,7.0
333,7.0
334,9.0
335,6.0
336,9.0
337,9.0
338,10.0
339,9.0
340,7.0
341,1.0
342,7.0
343,3.0
344,9.0
345,9.0
346,6.0
347,5.0
348,7.0
349,3.0
350,5.0
351,10.0
352,7.0
353,6.0
354,6.0
355,8.0
356,6.0
357,5.0
358,6.0
359,8.0
360,4.0
361,8.0
362,9.0
363,10.0
364,9.0
365,7.0
366,4.0
367,3.0
368,7.0
369,5.0
370,2.0
371,5.0
372,8.0
373,10.0
374,8.0
375,4.0
376,2.0
377,7.0
378,10.0
379,8.0
380,8.0
381,8.0
382,9.0
383,8.0
384,7.0
385,9.0
386,5.0
387,8.0
388,9.0
389,6.0
390,8.0
391,7.0
392,6.0
393,8.0
394,9.0
395,6.0
396,7.0
397,7.0
398,9.0
399,2.0
400,7.0
401,7.0
402,9.0
403,9.0
404,10.0
405,10.0
406,6.0
407,5.0
408,9.0
409,10.0
410,-1.0
411,9.0
412,8.0
413,10.0
414,7.0
415,7.0
416,9.0
417,8.0
418,7.0
419,3.0
420,2.0
421,8.0
422,5.0
423,8.0
424,9.0
425,7.0
426,6.0
427,9.0
428,4.0
429,8.0
430,8.0
431,4.0
432,6.0
433,9.0
434,10.0
435,8.0
436,4.0
437,6.0
438,9.0
439,9.0
440,8.0
441,0.0
442,10.0
443,5.0
444,6.0
445,4.0
446,9.0
447,9.0
448,9.0
449,4.0
450,10.0
451,8.0
452,10.0
453,7.0
454,8.0
455,7.0
456,10.0
457,7.0
458,10.0
459,7.0
460,9.0
461,10.0
462,9.0
463,9.0
464,7.0
465,6.0
466,7.0
467,7.0
468,6.0
469,6.0
470,3.0
471,7.0
472,9.0
473,7.0
474,6.0
475,7.0
476,0.0
477,9.0
478,10.0
479,9.0
480,6.0
481,7.0
482,9.0
483,8.0
484,6.0
485,6.0
486,8.0
487,7.0
488,10.0
489,8.0
490,8.0
491,7.0
492,6.0
493,10.0
494,10.0
495,7.0
496,8.0
497,8.0
498,7.0
499,5.0
500,8.0
