Episode,Reward
1,-166.0
2,-160.0
3,-151.0
4,-154.0
5,-170.0
6,-162.0
7,-198.0
8,-171.0
9,-154.0
10,-161.0
11,-177.0
12,142.0
13,-155.0
14,-236.0
15,-179.0
16,-153.0
17,80.0
18,147.0
19,-156.0
20,150.0
21,-156.0
22,149.0
23,-187.0
24,-152.0
25,-150.0
26,-153.0
27,-191.0
28,-154.0
29,-152.0
30,-151.0
31,-192.0
32,-159.0
33,-160.0
34,-153.0
35,-152.0
36,144.0
37,-194.0
38,-169.0
39,-154.0
40,-150.0
41,-154.0
42,-158.0
43,-171.0
44,-161.0
45,-165.0
46,-151.0
47,-161.0
48,-156.0
49,-153.0
50,-156.0
51,-151.0
52,-160.0
53,-157.0
54,-154.0
55,140.0
56,-152.0
57,-164.0
58,-159.0
59,-202.0
60,-170.0
61,-156.0
62,-158.0
63,-166.0
64,-157.0
65,-151.0
66,-156.0
67,147.0
68,-196.0
69,-189.0
70,-152.0
71,-157.0
72,-164.0
73,-188.0
74,-153.0
75,-154.0
76,-212.0
77,-157.0
78,-164.0
79,130.0
80,-154.0
81,-190.0
82,-152.0
83,-151.0
84,-152.0
85,-151.0
86,-204.0
87,-163.0
88,-153.0
89,-166.0
90,98.0
91,-161.0
92,-153.0
93,-157.0
94,-172.0
95,-156.0
96,-167.0
97,-173.0
98,-179.0
99,-262.0
100,-171.0
101,-156.0
102,-153.0
103,150.0
104,-171.0
105,-151.0
106,-161.0
107,-170.0
108,-173.0
109,-153.0
110,-181.0
111,-161.0
112,-155.0
113,-151.0
114,-165.0
115,-160.0
116,-155.0
117,-152.0
118,100.0
119,-151.0
120,-165.0
121,-167.0
122,-168.0
123,-165.0
124,-151.0
125,-160.0
126,-150.0
127,-159.0
128,33.0
129,-154.0
130,-154.0
131,-169.0
132,87.0
133,-169.0
134,-174.0
135,-159.0
136,-154.0
137,-153.0
138,-155.0
139,-152.0
140,-181.0
141,-155.0
142,-158.0
143,-154.0
144,-173.0
145,-156.0
146,-198.0
147,-166.0
148,-162.0
149,-163.0
150,124.0
151,-215.0
152,-158.0
153,146.0
154,-155.0
155,-167.0
156,-156.0
157,-150.0
158,-158.0
159,57.0
160,-162.0
161,-150.0
162,-150.0
163,-159.0
164,-172.0
165,-160.0
166,-152.0
167,75.0
168,-170.0
169,-155.0
170,138.0
171,-154.0
172,-153.0
173,-199.0
174,-171.0
175,123.0
176,-154.0
177,-155.0
178,-153.0
179,-150.0
180,-155.0
181,-153.0
182,-169.0
183,-162.0
184,112.0
185,-152.0
186,140.0
187,-181.0
188,-161.0
189,114.0
190,-158.0
191,-153.0
192,-165.0
193,-156.0
194,-166.0
195,-152.0
196,-176.0
197,-157.0
198,-153.0
199,-158.0
200,-152.0
201,138.0
202,-194.0
203,-152.0
204,-152.0
205,127.0
206,-158.0
207,-152.0
208,-197.0
209,-163.0
210,-157.0
211,-201.0
212,-159.0
213,-151.0
214,-150.0
215,-184.0
216,-153.0
217,-174.0
218,-169.0
219,-159.0
220,-150.0
221,-159.0
222,-178.0
223,-158.0
224,-154.0
225,-171.0
226,-158.0
227,-157.0
228,-162.0
229,-169.0
230,-168.0
231,-245.0
232,-164.0
233,-182.0
234,-151.0
235,-155.0
236,140.0
237,-160.0
238,-160.0
239,-174.0
240,149.0
241,-159.0
242,-156.0
243,-153.0
244,138.0
245,-172.0
246,-150.0
247,-164.0
248,-153.0
249,-159.0
250,150.0
251,-200.0
252,-162.0
253,-156.0
254,147.0
255,-189.0
256,73.0
257,-161.0
258,-161.0
259,-171.0
260,142.0
261,144.0
262,145.0
263,-165.0
264,-151.0
265,-153.0
266,-154.0
267,-158.0
268,128.0
269,-177.0
270,-159.0
271,-185.0
272,150.0
273,122.0
274,-152.0
275,-162.0
276,143.0
277,-181.0
278,150.0
279,-156.0
280,-161.0
281,-164.0
282,-158.0
283,-156.0
284,-175.0
285,-173.0
286,-160.0
287,-160.0
288,-162.0
289,-163.0
290,-161.0
291,-150.0
292,-158.0
293,-162.0
294,-150.0
295,137.0
296,-159.0
297,-167.0
298,6.0
299,-155.0
300,126.0
301,-172.0
302,137.0
303,-150.0
304,-161.0
305,-163.0
306,-156.0
307,145.0
308,142.0
309,135.0
310,148.0
311,-160.0
312,-156.0
313,-157.0
314,-163.0
315,-208.0
316,-158.0
317,126.0
318,-158.0
319,-170.0
320,-207.0
321,-164.0
322,-155.0
323,-172.0
324,-153.0
325,-157.0
326,-161.0
327,-155.0
328,90.0
329,63.0
330,-158.0
331,136.0
332,145.0
333,-156.0
334,-158.0
335,-183.0
336,-157.0
337,-167.0
338,143.0
339,-154.0
340,58.0
341,144.0
342,-157.0
343,-175.0
344,142.0
345,142.0
346,-156.0
347,-173.0
348,-156.0
349,-174.0
350,140.0
351,-154.0
352,143.0
353,150.0
354,138.0
355,-150.0
356,141.0
357,-155.0
358,-164.0
359,134.0
360,-154.0
361,-153.0
362,137.0
363,-164.0
364,-157.0
365,-172.0
366,-154.0
367,-156.0
368,-165.0
369,122.0
370,-163.0
371,137.0
372,-156.0
373,-158.0
374,-151.0
375,-164.0
376,-160.0
377,131.0
378,137.0
379,131.0
380,144.0
381,150.0
382,-150.0
383,-155.0
384,129.0
385,-156.0
386,147.0
387,119.0
388,144.0
389,-162.0
390,-162.0
391,91.0
392,-162.0
393,-174.0
394,-170.0
395,-157.0
396,137.0
397,-162.0
398,-156.0
399,45.0
400,-151.0
401,130.0
402,60.0
403,140.0
404,-157.0
405,137.0
406,-150.0
407,-161.0
408,-160.0
409,-153.0
410,-195.0
411,-168.0
412,145.0
413,149.0
414,-153.0
415,-157.0
416,-168.0
417,-173.0
418,-165.0
419,-152.0
420,-150.0
421,118.0
422,-155.0
423,-161.0
424,58.0
425,-163.0
426,150.0
427,-155.0
428,-162.0
429,-151.0
430,-179.0
431,-150.0
432,-172.0
433,130.0
434,135.0
435,-180.0
436,-159.0
437,-158.0
438,111.0
439,-187.0
440,142.0
441,134.0
442,-175.0
443,-154.0
444,-166.0
445,-177.0
446,124.0
447,-176.0
448,-167.0
449,146.0
450,-184.0
451,145.0
