Episode,Reward
1,-185.0
2,-153.0
3,-100.0
4,-100.0
5,121.0
6,132.0
7,102.0
8,101.0
9,141.0
10,76.0
11,111.0
12,145.0
13,-180.0
14,-192.0
15,-154.0
16,134.0
17,114.0
18,-155.0
19,134.0
20,-159.0
21,-185.0
22,-193.0
23,-191.0
24,-182.0
25,-186.0
26,118.0
27,111.0
28,101.0
29,-160.0
30,-185.0
31,-150.0
32,-158.0
33,145.0
34,-195.0
35,-150.0
36,133.0
37,-183.0
38,129.0
39,64.0
40,98.0
41,-154.0
42,117.0
43,-194.0
44,140.0
45,-186.0
46,-199.0
47,-183.0
48,-157.0
49,-168.0
50,92.0
51,130.0
52,-174.0
53,134.0
54,-100.0
55,149.0
56,139.0
57,-153.0
58,-200.0
59,51.0
60,126.0
61,146.0
62,92.0
63,-160.0
64,122.0
65,131.0
66,-171.0
67,-165.0
68,-155.0
69,143.0
70,149.0
71,-155.0
72,-155.0
73,123.0
74,145.0
75,59.0
76,129.0
77,-167.0
78,-152.0
79,115.0
80,81.0
81,144.0
82,145.0
83,136.0
84,-177.0
85,128.0
86,132.0
87,140.0
88,-155.0
89,123.0
90,64.0
91,51.0
92,-100.0
93,112.0
94,150.0
95,134.0
96,-188.0
97,103.0
98,-183.0
99,73.0
100,-153.0
101,120.0
102,117.0
103,111.0
104,122.0
105,-183.0
106,114.0
107,126.0
108,142.0
109,-169.0
110,144.0
111,72.0
112,-100.0
113,140.0
114,76.0
115,146.0
116,-151.0
117,-165.0
118,149.0
119,-159.0
120,145.0
121,119.0
122,133.0
123,123.0
124,-185.0
125,137.0
126,147.0
127,63.0
128,123.0
129,-168.0
130,149.0
131,129.0
132,116.0
133,133.0
134,-100.0
135,134.0
136,-100.0
137,139.0
138,-186.0
139,-154.0
140,110.0
141,133.0
142,142.0
143,144.0
144,146.0
145,111.0
146,120.0
147,137.0
148,-159.0
149,128.0
150,137.0
151,136.0
152,137.0
153,130.0
154,-158.0
155,-175.0
156,141.0
157,128.0
158,109.0
159,137.0
160,117.0
161,132.0
162,-165.0
163,143.0
164,127.0
165,127.0
166,-162.0
167,150.0
168,129.0
169,127.0
170,136.0
171,147.0
172,135.0
173,113.0
174,134.0
175,-180.0
176,126.0
177,149.0
178,-165.0
179,119.0
180,56.0
181,-160.0
182,140.0
183,95.0
184,139.0
185,131.0
186,132.0
187,133.0
188,147.0
189,-160.0
190,150.0
191,146.0
192,124.0
193,134.0
194,141.0
195,120.0
196,147.0
197,134.0
198,132.0
199,-158.0
200,142.0
201,136.0
202,-158.0
203,148.0
204,150.0
205,144.0
206,139.0
207,132.0
208,110.0
209,-150.0
210,143.0
211,134.0
212,-161.0
213,145.0
214,128.0
215,149.0
216,113.0
217,140.0
218,-175.0
