Episode,Reward,Success,Steps
1,6.0,1,5
2,-60.0,0,60
3,-60.0,0,60
4,-39.0,1,50
5,-7.0,1,18
6,-5.0,1,16
7,-12.0,1,23
8,-16.0,1,27
9,9.0,1,2
10,-9.0,1,20
11,-44.0,1,55
12,-15.0,1,26
13,3.0,1,8
14,-2.0,1,13
15,-60.0,0,60
16,-60.0,0,60
17,-60.0,0,60
18,-20.0,1,31
19,-36.0,1,47
20,8.0,1,3
21,-60.0,0,60
22,7.0,1,4
23,-7.0,1,18
24,5.0,1,6
25,-10.0,1,21
26,-10.0,1,21
27,-15.0,1,26
28,6.0,1,5
29,-37.0,1,48
30,-60.0,0,60
31,-19.0,1,30
32,-6.0,1,17
33,10.0,1,1
34,-12.0,1,23
35,2.0,1,9
36,-29.0,1,40
37,-14.0,1,25
38,-2.0,1,13
39,1.0,1,10
40,-60.0,0,60
41,2.0,1,9
42,-18.0,1,29
43,-29.0,1,40
44,-10.0,1,21
45,9.0,1,2
46,9.0,1,2
47,-14.0,1,25
48,0.0,1,11
49,6.0,1,5
50,4.0,1,7
51,9.0,1,2
52,1.0,1,10
53,-2.0,1,13
54,-13.0,1,24
55,-6.0,1,17
56,-15.0,1,26
57,5.0,1,6
58,5.0,1,6
59,-9.0,1,20
60,3.0,1,8
61,-4.0,1,15
62,-18.0,1,29
63,7.0,1,4
64,-2.0,1,13
65,5.0,1,6
66,-4.0,1,15
67,10.0,1,1
68,8.0,1,3
69,10.0,1,1
70,-15.0,1,26
71,-2.0,1,13
72,2.0,1,9
73,5.0,1,6
74,-16.0,1,27
75,-14.0,1,25
76,-10.0,1,21
77,6.0,1,5
78,3.0,1,8
79,-2.0,1,13
80,-7.0,1,18
81,1.0,1,10
82,9.0,1,2
83,-27.0,1,38
84,6.0,1,5
85,8.0,1,3
86,-4.0,1,15
87,-18.0,1,29
88,6.0,1,5
89,5.0,1,6
90,0.0,1,11
91,5.0,1,6
92,-2.0,1,13
93,8.0,1,3
94,-3.0,1,14
95,2.0,1,9
96,-19.0,1,30
97,6.0,1,5
98,2.0,1,9
99,5.0,1,6
100,-7.0,1,18
