Episode,Reward,Success,Steps
1,-166.0,0,17
2,-150.0,0,1
3,-157.0,0,8
4,-171.0,0,22
5,-161.0,0,12
6,-161.0,0,12
7,139.0,1,12
8,-153.0,0,4
9,-152.0,0,3
10,-152.0,0,3
11,-151.0,0,2
12,-161.0,0,12
13,-173.0,0,24
14,-151.0,0,2
15,-167.0,0,18
16,-176.0,0,27
17,-180.0,0,31
18,-151.0,0,2
19,143.0,1,8
20,-175.0,0,26
21,-151.0,0,2
22,-164.0,0,15
23,134.0,1,17
24,-171.0,0,22
25,136.0,1,15
26,-150.0,0,1
27,-153.0,0,4
28,-155.0,0,6
29,-247.0,0,98
30,-154.0,0,5
31,-151.0,0,2
32,150.0,1,1
33,-156.0,0,7
34,-151.0,0,2
35,-157.0,0,8
36,85.0,1,66
37,-215.0,0,66
38,121.0,1,30
39,130.0,1,21
40,-151.0,0,2
41,-163.0,0,14
42,-196.0,0,47
43,135.0,1,16
44,-155.0,0,6
45,-161.0,0,12
46,-155.0,0,6
47,-179.0,0,30
48,-157.0,0,8
49,-153.0,0,4
50,-160.0,0,11
51,-152.0,0,3
52,-159.0,0,10
53,-169.0,0,20
54,109.0,1,42
55,-163.0,0,14
56,-153.0,0,4
57,66.0,1,85
58,-154.0,0,5
59,-160.0,0,11
60,145.0,1,6
61,-153.0,0,4
62,-159.0,0,10
63,-171.0,0,22
64,-154.0,0,5
65,-187.0,0,38
66,-155.0,0,6
67,-152.0,0,3
68,-153.0,0,4
69,-158.0,0,9
70,-152.0,0,3
71,-156.0,0,7
72,-158.0,0,9
73,-154.0,0,5
74,141.0,1,10
75,128.0,1,23
76,-156.0,0,7
77,-169.0,0,20
78,149.0,1,2
79,131.0,1,20
80,-152.0,0,3
81,-157.0,0,8
82,-158.0,0,9
83,-158.0,0,9
84,-151.0,0,2
85,-197.0,0,48
86,-156.0,0,7
87,140.0,1,11
88,146.0,1,5
89,-157.0,0,8
90,-167.0,0,18
91,-155.0,0,6
92,136.0,1,15
93,-151.0,0,2
94,-152.0,0,3
95,-161.0,0,12
96,-158.0,0,9
97,-157.0,0,8
98,145.0,1,6
99,-150.0,0,1
100,-151.0,0,2
101,-153.0,0,4
102,-151.0,0,2
103,-156.0,0,7
104,-159.0,0,10
105,-153.0,0,4
106,-167.0,0,18
107,-157.0,0,8
108,145.0,1,6
109,116.0,1,35
110,-153.0,0,4
111,99.0,1,52
112,-156.0,0,7
113,-154.0,0,5
114,-155.0,0,6
115,-156.0,0,7
116,-162.0,0,13
117,-155.0,0,6
118,-162.0,0,13
119,-183.0,0,34
120,-152.0,0,3
121,-156.0,0,7
122,-173.0,0,24
123,-152.0,0,3
124,-151.0,0,2
125,-154.0,0,5
126,141.0,1,10
127,-163.0,0,14
128,-158.0,0,9
129,-173.0,0,24
130,-159.0,0,10
131,-157.0,0,8
132,-153.0,0,4
133,-161.0,0,12
134,-158.0,0,9
135,-162.0,0,13
136,-159.0,0,10
137,-153.0,0,4
138,150.0,1,1
139,-151.0,0,2
140,-158.0,0,9
141,-155.0,0,6
142,142.0,1,9
143,-161.0,0,12
144,140.0,1,11
145,-163.0,0,14
146,-160.0,0,11
147,-155.0,0,6
148,-157.0,0,8
149,-157.0,0,8
150,-170.0,0,21
151,-155.0,0,6
152,-171.0,0,22
153,118.0,1,33
154,-151.0,0,2
155,144.0,1,7
156,132.0,1,19
157,-163.0,0,14
158,-160.0,0,11
159,-153.0,0,4
160,-157.0,0,8
161,-150.0,0,1
162,-161.0,0,12
163,-164.0,0,15
164,-155.0,0,6
165,-164.0,0,15
166,144.0,1,7
167,-157.0,0,8
168,-152.0,0,3
169,144.0,1,7
170,-153.0,0,4
171,-155.0,0,6
172,-161.0,0,12
173,-161.0,0,12
174,-199.0,0,50
175,-151.0,0,2
176,-152.0,0,3
177,150.0,1,1
178,-154.0,0,5
179,-197.0,0,48
180,-154.0,0,5
181,-166.0,0,17
182,129.0,1,22
183,-168.0,0,19
184,129.0,1,22
185,127.0,1,24
186,-158.0,0,9
187,-151.0,0,2
188,87.0,1,64
189,132.0,1,19
190,137.0,1,14
191,-191.0,0,42
192,145.0,1,6
193,-163.0,0,14
194,144.0,1,7
195,-153.0,0,4
196,-158.0,0,9
197,-154.0,0,5
198,-170.0,0,21
199,116.0,1,35
200,-160.0,0,11
201,-156.0,0,7
202,-158.0,0,9
203,-156.0,0,7
204,-153.0,0,4
205,147.0,1,4
206,87.0,1,64
207,-155.0,0,6
208,-150.0,0,1
209,124.0,1,27
210,-153.0,0,4
211,-156.0,0,7
212,142.0,1,9
213,-164.0,0,15
214,-182.0,0,33
215,-164.0,0,15
216,-169.0,0,20
217,132.0,1,19
218,-161.0,0,12
219,-159.0,0,10
220,-156.0,0,7
221,133.0,1,18
222,-161.0,0,12
223,-178.0,0,29
224,-158.0,0,9
225,89.0,1,62
226,121.0,1,30
227,114.0,1,37
228,-154.0,0,5
229,-162.0,0,13
230,-155.0,0,6
231,-157.0,0,8
232,-174.0,0,25
233,96.0,1,55
234,146.0,1,5
235,114.0,1,37
236,-167.0,0,18
237,136.0,1,15
238,-153.0,0,4
239,-159.0,0,10
240,-159.0,0,10
241,90.0,1,61
242,143.0,1,8
243,-160.0,0,11
244,-157.0,0,8
245,-154.0,0,5
246,130.0,1,21
247,146.0,1,5
248,-167.0,0,18
249,-192.0,0,43
250,83.0,1,68
