Episode,Reward,Success,Steps
1,-229.0,0,80
2,130.0,1,21
3,73.0,1,78
4,-172.0,0,23
5,137.0,1,14
6,125.0,1,26
7,-164.0,0,15
8,-185.0,0,36
9,138.0,1,13
10,-162.0,0,13
11,-100.0,0,100
12,-180.0,0,31
13,-194.0,0,45
14,-173.0,0,24
15,-178.0,0,29
16,122.0,1,29
17,109.0,1,42
18,-150.0,0,1
19,118.0,1,33
20,-180.0,0,31
21,62.0,1,89
22,-196.0,0,47
23,145.0,1,6
24,117.0,1,34
25,116.0,1,35
26,143.0,1,8
27,-180.0,0,31
28,-163.0,0,14
29,136.0,1,15
30,139.0,1,12
31,-178.0,0,29
32,91.0,1,60
33,59.0,1,92
34,146.0,1,5
35,-171.0,0,22
36,144.0,1,7
37,150.0,1,1
38,140.0,1,11
39,-173.0,0,24
40,128.0,1,23
41,-170.0,0,21
42,-173.0,0,24
43,150.0,1,1
44,-192.0,0,43
45,-239.0,0,90
46,-193.0,0,44
47,150.0,1,1
48,112.0,1,39
49,148.0,1,3
50,125.0,1,26
51,-180.0,0,31
52,-178.0,0,29
53,147.0,1,4
54,126.0,1,25
55,-162.0,0,13
56,104.0,1,47
57,-176.0,0,27
58,149.0,1,2
59,107.0,1,44
60,117.0,1,34
61,134.0,1,17
62,-162.0,0,13
63,129.0,1,22
64,-211.0,0,62
65,-190.0,0,41
66,-155.0,0,6
67,129.0,1,22
68,143.0,1,8
69,113.0,1,38
70,116.0,1,35
71,-164.0,0,15
72,130.0,1,21
73,113.0,1,38
74,134.0,1,17
75,133.0,1,18
76,-221.0,0,72
77,-155.0,0,6
78,146.0,1,5
79,147.0,1,4
80,148.0,1,3
81,-177.0,0,28
82,148.0,1,3
83,141.0,1,10
84,-160.0,0,11
85,127.0,1,24
86,-205.0,0,56
87,142.0,1,9
88,104.0,1,47
89,-100.0,0,100
90,93.0,1,58
91,136.0,1,15
92,-228.0,0,79
93,149.0,1,2
94,-150.0,0,1
95,99.0,1,52
96,91.0,1,60
97,102.0,1,49
98,137.0,1,14
99,137.0,1,14
100,89.0,1,62
101,130.0,1,21
102,146.0,1,5
103,149.0,1,2
104,54.0,1,97
105,-196.0,0,47
106,-182.0,0,33
107,95.0,1,56
108,-193.0,0,44
109,146.0,1,5
110,-206.0,0,57
111,137.0,1,14
112,85.0,1,66
113,-100.0,0,100
114,150.0,1,1
115,135.0,1,16
116,144.0,1,7
117,138.0,1,13
118,-150.0,0,1
119,129.0,1,22
120,132.0,1,19
121,-154.0,0,5
122,114.0,1,37
123,-158.0,0,9
124,-170.0,0,21
125,-100.0,0,100
126,129.0,1,22
127,129.0,1,22
128,-162.0,0,13
129,-153.0,0,4
130,-150.0,0,1
131,-180.0,0,31
132,141.0,1,10
133,132.0,1,19
134,85.0,1,66
135,-152.0,0,3
136,105.0,1,46
137,135.0,1,16
138,94.0,1,57
139,89.0,1,62
140,109.0,1,42
141,88.0,1,63
142,103.0,1,48
143,114.0,1,37
144,-155.0,0,6
145,-162.0,0,13
146,119.0,1,32
147,89.0,1,62
148,-161.0,0,12
149,128.0,1,23
150,-171.0,0,22
151,132.0,1,19
152,142.0,1,9
153,-151.0,0,2
154,140.0,1,11
155,-190.0,0,41
156,-241.0,0,92
157,117.0,1,34
158,86.0,1,65
159,-100.0,0,100
160,135.0,1,16
161,108.0,1,43
162,107.0,1,44
163,114.0,1,37
164,146.0,1,5
165,92.0,1,59
166,101.0,1,50
167,-150.0,0,1
168,-152.0,0,3
169,-170.0,0,21
170,103.0,1,48
171,143.0,1,8
172,139.0,1,12
173,140.0,1,11
174,125.0,1,26
175,147.0,1,4
176,-168.0,0,19
177,-100.0,0,100
178,100.0,1,51
179,143.0,1,8
180,-171.0,0,22
181,112.0,1,39
182,139.0,1,12
183,141.0,1,10
184,-173.0,0,24
185,-161.0,0,12
186,-100.0,0,100
187,56.0,1,95
188,132.0,1,19
189,143.0,1,8
190,102.0,1,49
191,136.0,1,15
192,149.0,1,2
193,144.0,1,7
194,131.0,1,20
195,146.0,1,5
196,137.0,1,14
197,90.0,1,61
198,89.0,1,62
199,140.0,1,11
200,87.0,1,64
201,98.0,1,53
202,137.0,1,14
203,119.0,1,32
204,143.0,1,8
205,90.0,1,61
206,130.0,1,21
207,137.0,1,14
208,89.0,1,62
209,142.0,1,9
210,117.0,1,34
211,118.0,1,33
212,148.0,1,3
213,-150.0,0,1
214,97.0,1,54
215,90.0,1,61
216,150.0,1,1
217,93.0,1,58
218,-160.0,0,11
219,131.0,1,20
220,142.0,1,9
221,-150.0,0,1
222,107.0,1,44
223,122.0,1,29
224,146.0,1,5
225,108.0,1,43
226,140.0,1,11
227,-185.0,0,36
228,147.0,1,4
229,121.0,1,30
230,99.0,1,52
231,142.0,1,9
232,144.0,1,7
233,143.0,1,8
234,-158.0,0,9
235,64.0,1,87
236,146.0,1,5
237,-100.0,0,100
238,143.0,1,8
239,124.0,1,27
240,140.0,1,11
241,98.0,1,53
242,150.0,1,1
243,148.0,1,3
244,125.0,1,26
245,118.0,1,33
246,82.0,1,69
247,143.0,1,8
248,129.0,1,22
249,121.0,1,30
250,143.0,1,8
251,-167.0,0,18
252,124.0,1,27
253,128.0,1,23
254,92.0,1,59
255,115.0,1,36
256,104.0,1,47
257,110.0,1,41
258,132.0,1,19
259,141.0,1,10
260,129.0,1,22
261,-171.0,0,22
262,148.0,1,3
263,125.0,1,26
264,-164.0,0,15
265,-165.0,0,16
266,134.0,1,17
267,145.0,1,6
268,137.0,1,14
269,126.0,1,25
270,115.0,1,36
271,118.0,1,33
272,-150.0,0,1
273,-151.0,0,2
274,81.0,1,70
275,119.0,1,32
276,113.0,1,38
277,135.0,1,16
278,128.0,1,23
279,139.0,1,12
280,73.0,1,78
281,147.0,1,4
282,111.0,1,40
283,-164.0,0,15
284,135.0,1,16
285,124.0,1,27
286,107.0,1,44
287,121.0,1,30
288,132.0,1,19
289,143.0,1,8
290,133.0,1,18
291,131.0,1,20
292,149.0,1,2
293,115.0,1,36
294,115.0,1,36
295,143.0,1,8
296,124.0,1,27
297,145.0,1,6
298,132.0,1,19
299,148.0,1,3
300,138.0,1,13
301,127.0,1,24
302,112.0,1,39
303,143.0,1,8
304,137.0,1,14
305,102.0,1,49
306,113.0,1,38
307,144.0,1,7
308,138.0,1,13
309,131.0,1,20
310,-154.0,0,5
311,133.0,1,18
312,107.0,1,44
313,112.0,1,39
314,121.0,1,30
315,138.0,1,13
316,134.0,1,17
317,139.0,1,12
318,124.0,1,27
319,149.0,1,2
320,108.0,1,43
321,150.0,1,1
322,126.0,1,25
323,-186.0,0,37
324,144.0,1,7
325,146.0,1,5
326,145.0,1,6
327,140.0,1,11
328,135.0,1,16
329,147.0,1,4
330,116.0,1,35
331,130.0,1,21
332,149.0,1,2
333,139.0,1,12
334,149.0,1,2
335,126.0,1,25
336,145.0,1,6
337,114.0,1,37
338,86.0,1,65
339,134.0,1,17
340,148.0,1,3
341,144.0,1,7
342,114.0,1,37
343,135.0,1,16
344,-167.0,0,18
345,113.0,1,38
346,148.0,1,3
347,150.0,1,1
348,138.0,1,13
349,126.0,1,25
350,139.0,1,12
351,142.0,1,9
352,115.0,1,36
353,-174.0,0,25
354,132.0,1,19
355,148.0,1,3
356,97.0,1,54
357,-154.0,0,5
358,123.0,1,28
359,136.0,1,15
360,139.0,1,12
361,141.0,1,10
362,147.0,1,4
363,140.0,1,11
364,125.0,1,26
365,136.0,1,15
366,131.0,1,20
367,133.0,1,18
368,130.0,1,21
369,114.0,1,37
370,108.0,1,43
371,121.0,1,30
372,119.0,1,32
373,146.0,1,5
374,138.0,1,13
375,121.0,1,30
376,143.0,1,8
377,140.0,1,11
378,-160.0,0,11
379,149.0,1,2
380,140.0,1,11
381,131.0,1,20
382,130.0,1,21
383,145.0,1,6
384,145.0,1,6
385,130.0,1,21
386,133.0,1,18
387,149.0,1,2
388,127.0,1,24
389,141.0,1,10
390,128.0,1,23
391,145.0,1,6
392,119.0,1,32
393,143.0,1,8
394,139.0,1,12
395,126.0,1,25
396,142.0,1,9
397,142.0,1,9
398,136.0,1,15
399,145.0,1,6
400,120.0,1,31
401,128.0,1,23
402,144.0,1,7
403,118.0,1,33
404,138.0,1,13
405,-170.0,0,21
406,139.0,1,12
407,-167.0,0,18
408,138.0,1,13
409,122.0,1,29
410,148.0,1,3
411,149.0,1,2
412,125.0,1,26
413,141.0,1,10
414,128.0,1,23
415,135.0,1,16
416,117.0,1,34
417,135.0,1,16
418,145.0,1,6
419,135.0,1,16
420,122.0,1,29
421,147.0,1,4
422,98.0,1,53
423,146.0,1,5
424,133.0,1,18
425,134.0,1,17
426,-171.0,0,22
427,148.0,1,3
428,119.0,1,32
429,119.0,1,32
430,131.0,1,20
431,142.0,1,9
432,150.0,1,1
433,145.0,1,6
434,139.0,1,12
435,140.0,1,11
436,140.0,1,11
437,146.0,1,5
438,150.0,1,1
439,139.0,1,12
440,148.0,1,3
441,131.0,1,20
442,116.0,1,35
443,148.0,1,3
